project,portfolio_cover,portfolio_gallery_count,portfolio_mp4,portfolio_webm,portfolio_poster,new_images_found,new_videos_found,approved_images,approved_videos,rejected_assets,source_folder,implementation_status,notes
InsightForge Business Analytics Studio,public/projects/insightforge/cover.webp,10,public/projects/insightforge/preview.mp4,public/projects/insightforge/preview.webm,public/projects/insightforge/video-poster.webp,"seller-pack media also found","seller-pack MP4/WebM found","none - portfolio already complete","none - portfolio already complete","duplicate existing portfolio assets",/home/iedrees/Workspace/data-products/insightforge-business-analytics-dashboard/seller-pack,unchanged,"Existing media is complete; article still missing."
Bank Desert Analysis Student Lab,public/projects/bank-desert-analysis/01-cover.png,4,public/projects/bank-desert-analysis/preview.mp4,public/projects/bank-desert-analysis/preview.webm,public/projects/bank-desert-analysis/video-poster.webp,"seller-pack media also found","seller-pack MP4/WebM found","none - portfolio already has verified core media","none - portfolio already has verified core media","duplicate existing portfolio assets",/home/iedrees/Workspace/data-products/bank-desert-analysis-student-lab/seller-pack,unchanged,"Article exists; gallery has 4 meaningful images."
RAVERSUS Clinical Portal,,0,,,,"product and screenshot files found","Media1.mp4 found",none,none,"requires privacy/compliance review before use",/home/iedrees/Workspace/raversus-v3,deferred,"Do not add regulated product media without separate review."
Tiling Contractor Website Template,public/projects/tableview-tiling/cover.webp,10,public/projects/tableview-tiling/preview.mp4,public/projects/tableview-tiling/preview.webm,public/projects/tableview-tiling/video-poster.webp,"seller-pack images found","seller-pack MP4/WebM found","none - portfolio already complete","none - portfolio already complete","duplicate existing portfolio assets",/home/iedrees/Workspace/ct-lead-gen/clients/tableview-tiling-ct/seller-pack,unchanged,"Article missing and high priority."
Construction Website Template,public/projects/southern-suburbs-builders/cover.webp,10,public/projects/southern-suburbs-builders/preview.mp4,public/projects/southern-suburbs-builders/preview.webm,public/projects/southern-suburbs-builders/video-poster.webp,"release-build media found","release-build video found",none,none,"not modified; preserve Claude work",/home/iedrees/Workspace/release-build/southern-suburbs-builders-ct,unchanged,"Article exists; Claude work preserved."
Claude Code Solar Lead Generation Template,,0,,,,"seller-pack references found","not verified in batch",none,none,"deferred for source review",/home/iedrees/Workspace/ac-solar-solutions-ct,deferred,"Missing media and article."
Pest Control Website Template,,0,,,,"10 PNG listing images found","15s MP4 found","10 listing images approved","MP4 approved; WebM/poster to generate","duplicate Westlake copies in southern-suburbs worktrees",/home/iedrees/Workspace/ct-lead-gen/clients/westlake-pest-control/seller-pack,planned,"Images are 2000x2000 listing screenshots with alt text from import manifest."
Vitality Wellness Website Template,public/projects/vitality-wellness/cover.webp,0,public/projects/vitality-wellness/preview.mp4,public/projects/vitality-wellness/preview.webm,public/projects/vitality-wellness/video-poster.webp,"10 PNG listing images found","MP4/WebM/poster found","10 listing images approved","existing portfolio videos retained; gallery to add","none",/home/iedrees/Workspace/ct-lead-gen/clients/vitality-wellness-claremont-ct/seller-pack,planned,"Current portfolio lacks gallery; source manifest provides alt text."
Summit Painting CT,,0,,,,"Pasted images found","none verified",none,none,"older unreviewed pasted images",/home/iedrees/Workspace/ct-lead-gen/clients/summit-painting-ct,deferred,"Not priority."
Amore Nails CT,,0,,,,none,none,none,none,"not searched deeply in batch",/home/iedrees/Workspace/ct-lead-gen/clients,deferred,"Missing media and article."
Pixel Perfect Hair,,0,,,,"screenshots found","older MP4 recordings found",none,none,"older interface screenshots/videos not priority",/home/iedrees/Workspace/ct-lead-gen/clients/pixel perfect hair,deferred,"Needs review before use."
Zen Skin Studio Website Template,,0,,,,"buyer/listing packs exist in workspace","not verified in batch",none,none,"deferred for source review",/home/iedrees/Workspace/zen-skin-studio-template-listing,deferred,"Missing media and article; high article priority."
Acme Plumbing Claremont,,0,,,,"pasted images found","none verified",none,none,"older unreviewed pasted images",/home/iedrees/Workspace/ct-lead-gen/acme-plumbing-claremont,deferred,"Not priority."
Window Wizards CT,,0,,,,"pasted images and hero found","none verified",none,none,"older unreviewed pasted images",/home/iedrees/Workspace/ct-lead-gen/clients/window-wizards-ct,deferred,"Not priority."
First Choice Construction,,0,,,,none,none,none,none,"not verified in batch",/home/iedrees/Workspace/etsy/first-choice-listing.md,deferred,"Missing media and article."
Creator Hub Pro Template,,0,,,,none,none,none,none,"not verified in batch",/home/iedrees/Workspace/creator-hub-template,deferred,"Missing media and article."
Aura Signs,,0,,,,none,none,none,none,"not verified in batch",/home/iedrees/Workspace/aura-signs,deferred,"Missing media and article."
Fluent Path Tutoring,,0,,,,none,none,none,none,"no dedicated screenshot in repo",/home/iedrees/Workspace/english-tutor-site,deferred,"Article exists; media missing."
